Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
ITNPL3D,Nepal 3-month Treasury Bills,Treasury Bill Yields,Nepal Rupee,Nepal,,,,,,,National Currency,Units,Stock,none,Monthly From Jan 1981 To Oct 2008<BR>Weekly From Oct 2008 To Feb 2020<BR>,Source: Nepal Rastra Bank,
Date,Ticker,Open,High,Low,Close
04/26/2011,ITNPL3D,,,,9.1139
05/03/2011,ITNPL3D,,,,8.6398
05/10/2011,ITNPL3D,,,,8.9244
05/18/2011,ITNPL3D,,,,8.4473
05/24/2011,ITNPL3D,,,,8.244
05/31/2011,ITNPL3D,,,,8.1848
06/07/2011,ITNPL3D,,,,8.3005
06/14/2011,ITNPL3D,,,,8.4764
06/21/2011,ITNPL3D,,,,8.3699
06/29/2011,ITNPL3D,,,,8.4375
07/05/2011,ITNPL3D,,,,8.6648
07/12/2011,ITNPL3D,,,,8.7207
07/19/2011,ITNPL3D,,,,6.6531
07/26/2011,ITNPL3D,,,,5.5586
08/02/2011,ITNPL3D,,,,3.7399
08/09/2011,ITNPL3D,,,,2.9805
08/16/2011,ITNPL3D,,,,2.6014
08/23/2011,ITNPL3D,,,,2.5274
08/30/2011,ITNPL3D,,,,2.3487
09/06/2011,ITNPL3D,,,,2.1511
09/13/2011,ITNPL3D,,,,2.1671
09/20/2011,ITNPL3D,,,,2.0025
09/27/2011,ITNPL3D,,,,1.7856
10/09/2011,ITNPL3D,,,,1.7105
10/12/2011,ITNPL3D,,,,1.6359
10/18/2011,ITNPL3D,,,,1.2586
10/25/2011,ITNPL3D,,,,1.0624
11/02/2011,ITNPL3D,,,,0.9715
11/08/2011,ITNPL3D,,,,0.9142
11/15/2011,ITNPL3D,,,,0.7859
11/22/2011,ITNPL3D,,,,0.8633
11/29/2011,ITNPL3D,,,,0.812
12/06/2011,ITNPL3D,,,,0.7931
12/13/2011,ITNPL3D,,,,0.7381
12/20/2011,ITNPL3D,,,,0.6914
12/27/2011,ITNPL3D,,,,0.6704
01/03/2012,ITNPL3D,,,,0.6756
01/10/2012,ITNPL3D,,,,0.7604
01/17/2012,ITNPL3D,,,,0.6943
01/25/2012,ITNPL3D,,,,0.683
01/31/2012,ITNPL3D,,,,0.5811
02/07/2012,ITNPL3D,,,,0.5502
02/14/2012,ITNPL3D,,,,0.5353
02/21/2012,ITNPL3D,,,,0.6985
02/28/2012,ITNPL3D,,,,0.9991
03/06/2012,ITNPL3D,,,,1.1742
03/13/2012,ITNPL3D,,,,1.2517
03/20/2012,ITNPL3D,,,,1.2151
03/27/2012,ITNPL3D,,,,1.1063
04/03/2012,ITNPL3D,,,,1.0033
04/10/2012,ITNPL3D,,,,0.9475
04/17/2012,ITNPL3D,,,,0.788
04/24/2012,ITNPL3D,,,,0.8708
05/02/2012,ITNPL3D,,,,0.796
05/08/2012,ITNPL3D,,,,0.7961
05/15/2012,ITNPL3D,,,,0.7624
05/22/2012,ITNPL3D,,,,1.1711
05/29/2012,ITNPL3D,,,,1.0728
06/05/2012,ITNPL3D,,,,1.2521
06/12/2012,ITNPL3D,,,,1.9047
06/19/2012,ITNPL3D,,,,2.0759
06/26/2012,ITNPL3D,,,,0.948
07/03/2012,ITNPL3D,,,,0.6862
07/10/2012,ITNPL3D,,,,0.2746
07/17/2012,ITNPL3D,,,,0.3987
07/24/2012,ITNPL3D,,,,0.2568
07/31/2012,ITNPL3D,,,,0.1
08/07/2012,ITNPL3D,,,,0.1003
08/14/2012,ITNPL3D,,,,0.1244
08/21/2012,ITNPL3D,,,,0.1415
08/28/2012,ITNPL3D,,,,0.1335
