Date,indexes,returns,SVAR,treasury_yields,gov_bond_yields,infl
2005-09,296.98,0.02209526431718067,0.0005151629004686933,0.0338,0.065,0.015231398506919902
2005-10,307.22,0.03448043639302313,0.00045801240249770855,0.0313,0.065,0.002885171177201107
2005-11,300.54,-0.02174337608228633,0.0004355271782483072,0.0269,0.065,0.004027617112106308
2005-12,302.78,0.0074532508151991484,0.0010886798157275948,0.022000000000000002,0.065,-0.008595987062058996
2006-01,309.04,0.020675077614109413,0.00010534453841574546,0.0246,0.065,-0.013872832576121152
2006-02,341.05,0.10357882474760545,0.001738831057454605,0.022000000000000002,0.065,0.0011723333278128578
2006-03,337.52,-0.010350388506084239,0.0006474100318418191,0.0265,0.065,0.020491803396058828
2006-04,361.58,0.07128466461246742,0.0035374615291586383,0.028900000000000002,0.065,0.00975329779279388
2006-05,371.74,0.028098899275402472,0.0034478009994392965,0.0363,0.06,0.017045455881618876
2006-06,375.14,0.009146177435842194,0.00016651714172961581,0.0331,0.06,0.0033519543043931677
2006-07,378.76,0.009649730767180266,0.0011283726460554375,0.0325,0.06,0.005567928466886141
2006-08,382.24,0.009187876227690406,0.005581859017232233,0.029900000000000003,0.06,0.013842746790804439
2006-09,394.25,0.031420050230221826,0.0004604254091208946,0.0278,0.06,0.00928454290782299
2006-10,408.38,0.03584020291693087,0.00025334117765063766,0.0254,0.06,0.011363636039717795
2006-11,486.19,0.19053332680346738,0.005296711523401577,0.021099999999999997,0.06,0.0
2006-12,514.42,0.05806371994487744,0.0016995312192755858,0.019799999999999998,0.06,-0.006955589495360126
2007-01,513.34,-0.0020994518098050763,0.0013303219036799225,0.026699999999999998,0.06,-0.010775861553406374
2007-02,511.81,-0.0029804807729770315,0.00033345783569390086,0.026000000000000002,0.06,0.004901960342293288
2007-03,480.99,-0.06021765889685624,0.0026440231168522958,0.0236,0.06,0.003252031548722556
2007-04,513.69,0.06798478138838654,0.0030178452491831887,0.018500000000000003,0.06,0.004321987505034208
2007-05,541.38,0.05390410558897377,0.0007861302728699908,0.024300000000000002,0.06,0.007530931068400859
2007-06,591.65,0.09285529572573789,0.0020902008298681607,0.0217,0.06,0.0016017090167490533
2007-07,678.97,0.14758725597904176,0.004653482981893921,0.02765,0.06,0.011727078737304497
2007-08,739.53,0.08919392609393632,0.0018561497816121375,0.0425,0.06,0.025816649670428404
2007-09,885.5,0.19738212107690023,0.007657446482942504,0.021400000000000002,0.06,0.015921930609411605
2007-10,878.86,-0.00749858836815357,0.004131696969997992,0.0235,0.06,0.004550050151241214
2007-11,897.29,0.02097034795075433,0.00622376255268776,0.030299999999999997,0.06,0.0
2007-12,984.53,0.09722609189894016,0.006245506341812659,0.0359,0.06,-0.01308505147400918
2008-01,803.69,-0.18368155363472918,0.006914749193431547,0.038599999999999995,0.06,-0.009688935477476068
2008-02,756.76,-0.05839316154238582,0.011709571989798795,0.0579,0.06,0.010813593919476228
2008-03,709.4,-0.06258258893176175,0.0028789069323179664,0.0554,0.06,0.01069791105355633
2008-04,736.46,0.038144911192557175,0.004199836445634397,0.0407,0.06,0.020161291286120875
2008-05,833.18,0.13133096162724373,0.00402929803087641,0.053200000000000004,0.06,0.01086956507594472
2008-06,937.46,0.1251590292613842,0.0044009631601426,0.0541,0.06,0.018084066907099627
2008-07,1034.02,0.10300172807373108,0.0034564922990504296,0.0513,0.06,0.02112337945978915
2008-08,1175.38,0.13670915456180743,0.007673218032602974,0.051699999999999996,0.06,0.03526093010762543
2008-09,962.55,-0.1810733550000852,0.007405762000642604,0.0373,0.06,0.01952770340276655
2008-10,881.86,-0.08382941145914492,0.003069940933463331,0.06250000000000001,0.06,0.01024498887758063
2008-11,750.71,-0.14871975143446803,0.011350535914504268,0.049800000000000004,0.06,0.0030864191079149617
2008-12,695.5,-0.07354371195268483,0.001417887026908234,0.042775,0.06,-0.016703295585182687
2009-01,658.83,-0.05272465851905098,0.00551868345743517,0.063625,0.06,-0.007152436962542641
2009-02,677.52,0.02836847138108456,0.004013553165884153,0.0675,0.06,0.004502476147659751
2009-03,664.13,-0.01976325422127758,0.0009806320358173284,0.0588,0.06,0.0058269836453177515
2009-04,648.64,-0.0233237468567901,0.0006158349345774927,0.06587499999999999,0.06,0.009358288492088862
2009-05,707.89,0.09134496793290578,0.004317151697460413,0.06484999999999999,0.06,0.019426048309889143
2009-06,662.05,-0.06475582364491662,0.001033489598048662,0.05802,0.06,0.013425724952943696
2009-07,715.94,0.08139868589985666,0.005465038321803879,0.051425,0.06,0.012820513830644753
2009-08,660.84,-0.07696175657177978,0.0033072788665582404,0.020475,0.06,0.025738395557356464
2009-09,630.55,-0.04583560317172095,0.0026637503361770943,0.023825,0.06,0.013163306977256983
2009-10,579.58,-0.08083419237173883,0.002384634789901908,0.033460000000000004,0.06,0.0069021525972177145
2009-11,528.83,-0.08756340798509264,0.0024906931636371112,0.055650000000000005,0.06,0.00806451574973388
2009-12,548.11,0.036457840894049076,0.001547601164926103,0.07206,0.06,-0.003999999813372956
2010-01,512.34,-0.06526062286767251,0.0005112534667980861,0.0907,0.06,-0.002811244394899437
2010-02,485.14,-0.05308974509115049,0.002309863898788949,0.08657499999999999,0.06,0.006443817050363343
2010-03,443.17,-0.0865111101949952,0.0037642446288258867,0.0668,0.06,-0.0016006392782381695
2010-04,419.03,-0.054471196154974484,0.00402706857529719,0.08134000000000001,0.06,0.0056112227815614535
2010-05,490.08,0.16955826551798203,0.011379195301984002,0.06812725,0.06,0.011956954390127006
2010-06,455.75,-0.07004978778974859,0.001268131992200251,0.0736574,0.06,0.00984639649447594
2010-07,461.63,0.01290181020296214,0.002600310048125078,0.066632,0.06,0.017550701927348644
2010-08,421.16,-0.08766761259016956,0.001306871891426865,0.033274,0.06,0.007369671454741988
2010-09,402.54,-0.04421122613733499,0.001572133823665773,0.046492000000000006,0.06,0.02331961550176942
2010-10,423.87,0.05298852287971378,0.0006514699780736805,0.078319,0.06,0.006702412424177906
2010-11,413.65,-0.02411116615943574,0.0002940276358389927,0.0720406,0.06,0.0033288952824896967
2010-12,404.06,-0.023183851081832407,0.0010752421911461652,0.072395,0.06,0.005972130079022309
2011-01,410.57,0.01611146859377318,0.00037706603721015337,0.08835124999999999,0.06,0.01319261263853777
2011-02,391.66,-0.04605791947779908,0.0008680961116770945,0.07538774999999999,0.06,-0.003906250010616508
2011-03,365.25,-0.06743093499463827,0.0019622945908859316,0.08653279999999999,0.06,0.001960784319075648
2011-04,347.73,-0.04796714579055437,0.0012612537295572353,0.09396275,0.06,0.00717547204071356
2011-05,336.73,-0.03163373882034912,0.0011023177371848897,0.08488059999999999,0.06,0.0006476692973742537
2011-06,336.69,-0.0001187895346420588,0.0176911905587807,0.08396075,0.06,0.0019417475780620919
