S.N,Date,Open,High,Low,Close,Absolute,Percentage,Volume,Trunover
2862,2007-07-16,683.95,683.95,683.95,683.95,26.48,3.872%,684,nan
2863,2007-07-15,657.47,657.47,657.47,657.47,14.32,2.178%,657,nan
2864,2007-07-12,643.15,643.15,643.15,643.15,10.13,1.575%,643,nan
2865,2007-07-11,633.02,633.02,633.02,633.02,12.41,1.96%,633,nan
2866,2007-07-10,620.61,620.61,620.61,620.61,5.18,0.835%,621,nan
2867,2007-07-09,615.43,615.43,615.43,615.43,1.96,0.318%,615,nan
2868,2007-07-05,613.47,613.47,613.47,613.47,2.39,0.39%,613,nan
2869,2007-07-04,611.08,611.08,611.08,611.08,8.21,1.344%,611,nan
2870,2007-07-03,602.87,602.87,602.87,602.87,4.35,0.722%,603,nan
2871,2007-07-02,598.52,598.52,598.52,598.52,4.87,0.814%,599,nan
2872,2007-07-01,593.65,593.65,593.65,593.65,2,0.337%,594,nan
2873,2007-06-27,591.65,591.65,591.65,591.65,1.36,0.23%,592,nan
2874,2007-06-26,590.29,590.29,590.29,590.29,2.08,0.352%,590,nan
2875,2007-06-25,588.21,588.21,588.21,588.21,4.2,0.714%,588,nan
2876,2007-06-24,584.01,584.01,584.01,584.01,0.57,0.098%,584,nan
2877,2007-06-21,583.44,583.44,583.44,583.44,4.63,0.794%,583,nan
2878,2007-06-20,578.81,578.81,578.81,578.81,11.53,1.992%,579,nan
2879,2007-06-19,567.28,567.28,567.28,567.28,3.79,0.668%,567,nan
2880,2007-06-18,563.49,563.49,563.49,563.49,-5.96,1.058%,563,nan
2881,2007-06-17,569.45,569.45,569.45,569.45,-5.59,0.982%,569,nan
2882,2007-06-14,575.04,575.04,575.04,575.04,-8.51,1.48%,575,nan
2883,2007-06-13,583.55,583.55,583.55,583.55,10.83,1.856%,584,nan
2884,2007-06-12,572.72,572.72,572.72,572.72,8.21,1.434%,573,nan
2885,2007-06-11,564.51,564.51,564.51,564.51,5.36,0.949%,565,nan
2886,2007-06-10,559.15,559.15,559.15,559.15,7.09,1.268%,559,nan
2887,2007-06-07,552.06,552.06,552.06,552.06,2.1,0.38%,552,nan
2888,2007-06-06,549.96,549.96,549.96,549.96,5.82,1.058%,550,nan
2889,2007-06-05,544.14,544.14,544.14,544.14,2,0.368%,544,nan
2890,2007-06-04,542.14,542.14,542.14,542.14,4.4,0.812%,542,nan
2891,2007-06-03,537.74,537.74,537.74,537.74,-3.64,0.677%,538,nan
2892,2007-05-31,541.38,541.38,541.38,541.38,0.71,0.131%,541,nan
2893,2007-05-30,540.67,540.67,540.67,540.67,8.71,1.611%,541,nan
2894,2007-05-29,531.96,531.96,531.96,531.96,6.02,1.132%,532,nan
2895,2007-05-28,525.94,525.94,525.94,525.94,1.02,0.194%,526,nan
2896,2007-05-27,524.92,524.92,524.92,524.92,-0.13,0.025%,525,nan
2897,2007-05-24,525.05,525.05,525.05,525.05,1.59,0.303%,525,nan
2898,2007-05-23,523.46,523.46,523.46,523.46,1.23,0.235%,523,nan
2899,2007-05-22,522.23,522.23,522.23,522.23,-2.92,0.559%,522,nan
2900,2007-05-21,525.15,525.15,525.15,525.15,-0.49,0.093%,525,nan
2901,2007-05-20,525.64,525.64,525.64,525.64,7.09,1.349%,526,nan
2902,2007-05-17,518.55,518.55,518.55,518.55,3.35,0.646%,519,nan
2903,2007-05-16,515.20,515.20,515.20,515.20,2.82,0.547%,515,nan
2904,2007-05-15,512.38,512.38,512.38,512.38,-1.07,0.209%,512,nan
2905,2007-05-14,513.45,513.45,513.45,513.45,-3.35,0.652%,513,nan
2906,2007-05-13,516.80,516.80,516.80,516.80,-1.48,0.286%,517,nan
2907,2007-05-10,518.28,518.28,518.28,518.28,-0.34,0.066%,518,nan
2908,2007-05-09,518.62,518.62,518.62,518.62,1.2,0.231%,519,nan
2909,2007-05-08,517.42,517.42,517.42,517.42,1.28,0.247%,517,nan
2910,2007-05-07,516.14,516.14,516.14,516.14,1.15,0.223%,516,nan
2911,2007-05-06,514.99,514.99,514.99,514.99,0.34,0.066%,515,nan
2912,2007-05-03,514.65,514.65,514.65,514.65,0.96,0.187%,515,nan
2913,2007-04-30,513.69,513.69,513.69,513.69,4.07,0.792%,514,nan
2914,2007-04-29,509.62,509.62,509.62,509.62,3,0.589%,510,nan
2915,2007-04-26,506.62,506.62,506.62,506.62,4.02,0.793%,507,nan
2916,2007-04-25,502.60,502.60,502.60,502.60,1.07,0.213%,503,nan
2917,2007-04-23,501.53,501.53,501.53,501.53,-1.19,0.237%,502,nan
2918,2007-04-22,502.72,502.72,502.72,502.72,-0.57,0.113%,503,nan
2919,2007-04-19,503.29,503.29,503.29,503.29,2.02,0.401%,503,nan
2920,2007-04-18,501.27,501.27,501.27,501.27,2.36,0.471%,501,nan
2921,2007-04-17,498.91,498.91,498.91,498.91,0.89,0.178%,499,nan
2922,2007-04-16,498.02,498.02,498.02,498.02,0.29,0.058%,498,nan
2923,2007-04-15,497.73,497.73,497.73,497.73,3.14,0.631%,498,nan
2924,2007-04-12,494.59,494.59,494.59,494.59,5.56,1.124%,495,nan
2925,2007-04-11,489.03,489.03,489.03,489.03,2.02,0.413%,489,nan
2926,2007-04-10,487.01,487.01,487.01,487.01,-0.42,0.086%,487,nan
2927,2007-04-09,487.43,487.43,487.43,487.43,-0.79,0.162%,487,nan
2928,2007-04-08,488.22,488.22,488.22,488.22,-0.71,0.145%,488,nan
2929,2007-04-05,488.93,488.93,488.93,488.93,-2.68,0.548%,489,nan
2930,2007-04-04,491.61,491.61,491.61,491.61,-10.06,2.046%,492,nan
2931,2007-04-03,501.67,501.67,501.67,501.67,-5.79,1.154%,502,nan
2932,2007-04-02,507.46,507.46,507.46,507.46,5.31,1.046%,507,nan
2933,2007-04-01,502.15,502.15,502.15,502.15,21.16,4.214%,502,nan
2934,2007-03-29,480.99,480.99,480.99,480.99,-1.53,0.318%,481,nan
2935,2007-03-28,482.52,482.52,482.52,482.52,-6,1.243%,483,nan
2936,2007-03-25,488.52,488.52,488.52,488.52,-2.95,0.604%,489,nan
2937,2007-03-22,491.47,491.47,491.47,491.47,-0.85,0.173%,491,nan
2938,2007-03-21,492.32,492.32,492.32,492.32,-1.56,0.317%,492,nan
2939,2007-03-15,493.88,493.88,493.88,493.88,-0.18,0.036%,494,nan
2940,2007-03-14,494.06,494.06,494.06,494.06,-6.06,1.227%,494,nan
2941,2007-03-13,500.12,500.12,500.12,500.12,-0.6,0.12%,500,nan
2942,2007-03-12,500.72,500.72,500.72,500.72,4.08,0.815%,501,nan
2943,2007-03-11,496.64,496.64,496.64,496.64,9.83,1.979%,497,nan
2944,2007-03-08,486.81,486.81,486.81,486.81,10.74,2.206%,487,nan
