,Date,GDP Per Capita USD,GDP Monthly Growth Rate,Monthly Inflation Rate,Inflation Monthly Growth Rate,NEPSE,SVAR,Risk Premium,Risk Preimum Monthly Change
483,2001-03,233.79912499999998,0.6181173109212573,2.531175,0.6945227186834907,386.87,0.0034727474282946415,3.8675000000000006,-2.540949181016374
484,2001-04,235.23539999999997,0.6143200920875965,2.5486333333333335,0.6897323706710659,368.38,0.017959678866924806,3.7666666666666675,-2.6071967248437775
485,2001-05,236.67167499999996,0.6105692425544773,2.566091666666667,0.6850076511594457,340.43,0.019704517146507766,3.6658333333333344,-2.6769911504424715
486,2001-06,238.10794999999996,0.6068639181262375,2.5835500000000002,0.6803472206435864,332.69,0.0005294531161179407,3.5650000000000013,-2.750625142077738
487,2001-07,239.54422499999995,0.6032032949760792,2.6010083333333336,0.6757497758252541,323.64,0.004609978359465751,3.464166666666668,-2.828424497428698
488,2001-08,240.98049999999995,0.5995865690354235,2.618466666666667,0.6712140483978977,281.04,0.007422299145862681,3.363333333333335,-2.910752946836653
489,2001-09,242.41677499999994,0.5960129554051034,2.6359250000000003,0.6667388038801342,276.07,0.0034312250165894004,3.262500000000002,-2.998017839444987
490,2001-10,243.85304999999994,0.5924816877874871,2.6533833333333336,0.6623228404955889,287.17,0.00036832611305097216,3.161666666666669,-3.0906768837803233
491,2001-11,245.28932499999993,0.5889920179386705,2.670841666666667,0.6579649880969586,287.7,0.00173289976898526,3.0608333333333357,-3.1892461781760586
492,2001-12,246.7256,0.5855432151399381,2.6883,0.6536641071322551,269.75,0.0007223705643484756,2.96,-3.2943098284781605
493,2002-01,246.55853333333332,-0.06771355168116745,2.716725,1.0573596696797205,251.96,0.0019695776385871004,2.9158333333333335,-1.4921171171171104
494,2002-02,246.39146666666664,-0.06775943400052827,2.7451499999999998,1.0462965519145266,220.28,0.0015689600795257624,2.871666666666667,-1.5147184909974207
495,2002-03,246.22439999999997,-0.06780537854124973,2.7735749999999997,1.0354625430304327,198.81,0.009916894680004113,2.8275000000000006,-1.538015089959366
496,2002-04,246.0573333333333,-0.06785138542998602,2.8019999999999996,1.024850598956218,220.17,0.003221479892628303,2.783333333333334,-1.5620394930739685
497,2002-05,245.89026666666663,-0.06789745479373527,2.8304249999999995,1.0144539614561001,233.28,0.0058477578335278365,2.7391666666666676,-1.5868263473053816
498,2002-06,245.72319999999996,-0.06794358675984076,2.8588499999999994,1.004266143776992,229.17,0.00036547327124336935,2.695000000000001,-1.6124125342257298
499,2002-07,245.5561333333333,-0.06798978145599215,2.8872749999999994,0.9942809171519992,224.57,0.00475080183690188,2.6508333333333347,-1.6388373531230591
500,2002-08,245.38906666666662,-0.0680360390102265,2.9156999999999993,0.9844922981011482,227.36,0.00019070237123226103,2.6066666666666682,-1.6661427224143266
501,2002-09,245.22199999999995,-0.06808235955092967,2.944124999999999,0.9748945364749436,217.53,0.0002851041323983892,2.5625000000000018,-1.6943734015345182
502,2002-10,245.05493333333328,-0.06812874320683728,2.972549999999999,0.9654821041905466,225.4,0.00022215650970640088,2.5183333333333353,-1.7235772357723487
503,2002-11,244.8878666666666,-0.06817519010703607,3.000974999999999,0.9562496846142178,217.44,0.0001997636936386845,2.474166666666669,-1.7538054268696135
504,2002-12,244.7208,-0.06822170038094183,3.0294,0.9471921625471995,204.77,0.0010670044147844527,2.43,-1.7851128326036505
505,2003-01,245.36093333333332,0.26157700258144145,3.252533333333333,7.365594947294289,203.54,0.0006835400057225815,2.5500000000000003,4.938271604938276
506,2003-02,246.00106666666665,0.2608945624052039,3.4756666666666662,6.860293514798717,209.26,0.007302176422877445,2.6700000000000004,4.70588235294118
507,2003-03,246.64119999999997,0.260215673861573,3.6987999999999994,6.419871487484412,214.84,0.3135792583583037,2.7900000000000005,4.494382022471913
