,Date,indexes,returns,SVAR,treasury_yields,gov_bond_yields,infl
123,2007-10,1549.38,0.014713557788708606,0.001682891171,0.039,0.048,0.002139191328121237
124,2007-11,1481.14,-0.04504278936941616,0.005636820058,0.0327,0.0445,0.005939617873415681
125,2007-12,1468.36,-0.00866592980480183,0.0023453329829999994,0.03,0.045,-0.000670863129647814
126,2008-01,1378.55,-0.06311390960227695,0.004831798632000001,0.0275,0.0436,0.004970576472604682
127,2008-02,1330.63,-0.035379707842082095,0.0032256550690000006,0.0212,0.0438,0.0029041121849535667
128,2008-03,1322.7,-0.005977412241373905,0.006337648871000001,0.0126,0.0432,0.008668212930989627
129,2008-04,1385.59,0.04645093966005638,0.0029036913849999992,0.0129,0.0458,0.006064778389719416
130,2008-05,1400.38,0.010617586652650165,0.0016406620900000003,0.0173,0.0475,0.00842088603175628
131,2008-06,1280.0,-0.0898835504310454,0.0034251768430000004,0.018600000000000002,0.046,0.010076996934894167
132,2008-07,1267.38,-0.009908300486456212,0.00446591099,0.0163,0.0465,0.005251011128121874
133,2008-08,1282.83,0.012116797460712942,0.003447891326,0.0172,0.0449,-0.00399156225564179
134,2008-09,1166.36,-0.09518078677437536,0.023774695392,0.0113,0.0443,-0.0013830185406644713
135,2008-10,968.75,-0.18563648644598751,0.05808849261200002,0.0067,0.0478,-0.01010133328457874
136,2008-11,896.24,-0.07779834641708887,0.03625708513899999,0.0019,0.0372,-0.019152895328595876
137,2008-12,903.25,0.007791135777281755,0.020089946671,0.0003,0.0303,-0.010342473814287434
138,2009-01,825.88,-0.08954988551107096,0.011971096875,0.0013,0.0394,0.004352417375421025
139,2009-02,735.09,-0.11645654382051443,0.009961162350000002,0.003,0.0401,0.004972933035904736
140,2009-03,797.87,0.08195273621464377,0.020364427765000005,0.0021,0.0355,0.0024317484554154944
141,2009-04,872.81,0.0897722149209695,0.007551065655999999,0.0016,0.040999999999999995,0.002496368277788097
142,2009-05,919.14,0.051720558420882315,0.006381091354,0.0018,0.0432,0.0028887638341774657
143,2009-06,919.32,0.00019581606407012827,0.003472522931,0.0018,0.0429,0.008589892263953347
144,2009-07,987.48,0.07152197708889191,0.0037711532179999993,0.0018,0.043,-0.0015855869221532704
145,2009-08,1020.62,0.033009321348136535,0.0021777353590000004,0.0017000000000000001,0.0415,0.002242850044810618
146,2009-09,1057.08,0.035100104155946166,0.0019126576490000003,0.0012,0.0403,0.0006254806934959944
147,2009-10,1036.19,-0.01995986522217773,0.0038980190779999997,0.0007000000000000001,0.042,0.000963101185818438
148,2009-11,1095.63,0.05577901558280714,0.0020013324180000003,0.0005,0.0406,0.0007077533687673832
149,2009-12,1115.1,0.017614546700982087,0.0009334541459999999,0.0005,0.0458,-0.001761198169463296
150,2010-01,1073.87,-0.037675141059320766,0.0019917045380000004,0.0006,0.0440589,0.0034174735701484327
151,2010-02,1104.49,0.028114744036660498,0.0023732562839999995,0.0011,0.0440712,0.0002492073820765661
152,2010-03,1169.43,0.05713276064548312,0.000633436921,0.0015,0.0457777,0.004106283536571276
153,2010-04,1186.69,0.014651468311863144,0.0017938673890000002,0.0016,0.0437358,0.001736884910697345
154,2010-05,1089.41,-0.08553165363377013,0.008107791315,0.0016,0.040681,0.000775197354237811
155,2010-06,1030.71,-0.05538838013237662,0.005591726202999999,0.0012,0.0376074,-0.0009762670846739097
156,2010-07,1101.6,0.06651578327458964,0.003348826286000001,0.0016,0.0376576,0.00021104305737162932
157,2010-08,1049.33,-0.048611803170382606,0.0027046066069999998,0.0016,0.0327078,0.0013806642784079948
158,2010-09,1141.2,0.0839284750952826,0.0023371919450000003,0.0015,0.034063,0.0005817362307156682
159,2010-10,1183.26,0.036193000710687595,0.001080044425,0.0013,0.0367157,0.0012451988884769616
160,2010-11,1180.55,-0.002292909487060143,0.00173791556,0.0014000000000000002,0.0380256,0.0004206464238194485
161,2010-12,1257.64,0.06325651722192606,0.000832119987,0.0014000000000000002,0.0413782,0.001718440789203024
162,2011-01,1286.12,0.02239298525651701,0.0008632403759999999,0.0015,0.0432,0.004763230053974166
163,2011-02,1327.22,0.031456595040144836,0.001065548849,0.0013,0.0426,0.00493136502545144
164,2011-03,1325.83,-0.0010478506829378123,0.0023472688040000003,0.001,0.0429,0.0097510720305094
165,2011-04,1363.61,0.02809691636712916,0.0006365422389999999,0.0006,0.0416,0.006439429535457064
166,2011-05,1345.2,-0.013592893899637262,0.0009341907559999999,0.0004,0.0391,0.004704187527233561
167,2011-06,1320.64,-0.01842623330189754,0.0022947485449999997,0.0004,0.0409,-0.0010709670566992902
168,2011-07,1292.28,-0.021708367435427242,0.0018307592150000002,0.0004,0.0378,0.0008860456667936223
169,2011-08,1218.89,-0.05846749161912042,0.019222198801,0.0002,0.0315,0.0027575889023645495
170,2011-09,1131.42,-0.0744671275427831,0.0069157355560000005,0.0001,0.0265,0.0015184621156945077
171,2011-10,1253.3,0.10230659165059017,0.007400881376000001,0.0002,0.0291,-0.0020626826333582926
172,2011-11,1246.96,-0.005071483436680982,0.007679542724000001,0.0001,0.0273,-0.0008435613304419443
173,2011-12,1257.6,0.008496553494146353,0.0027640645950000008,0.0001,0.0255,-0.0024665163771382392
174,2012-01,1312.41,0.04265999901113749,0.0006481558919999998,0.0003,0.0249,0.004400191428267641
175,2012-02,1365.68,0.039787331386417914,0.000623690891,0.0009,0.0272,0.004402973551276279
176,2012-03,1408.47,0.030851535762571346,0.001155301821,0.0008,0.0297,0.0075945586239309915
177,2012-04,1397.91,-0.007525744796048625,0.001627533651,0.0008,0.0268,0.0030210295040804525
178,2012-05,1310.33,-0.06469925017046924,0.001496092692,0.0009,0.0221,-0.0011734793663211729
179,2012-06,1362.16,0.038792661243837456,0.0034372579350000006,0.0009,0.0233,-0.0014663968844504938
180,2012-07,1379.32,0.012518948972710817,0.0015528655310000003,0.001,0.0216,-0.0016297858618254946
181,2012-08,1406.58,0.019570602004381984,0.0007271255359999999,0.001,0.0223,0.005565158181437102
182,2012-09,1440.67,0.02394705705020073,0.001044683038,0.0011,0.0235,0.004462212267611232
183,2012-10,1412.16,-0.019987836058499683,0.0009255256829999999,0.001,0.0238,-0.00038892514055322014
184,2012-11,1416.18,0.0028426587376603443,0.0019026505890000001,0.0009,0.0228,-0.00473808669488196
185,2012-12,1426.19,0.007043447111457518,0.001035712328,0.0007000000000000001,0.0246,-0.002693064490207231
186,2013-01,1498.11,0.049197760692578335,0.0009067698529999997,0.0007000000000000001,0.0291,0.002957304192926058
187,2013-02,1514.68,0.010999881888155871,0.001242765683,0.001,0.0285,0.008190029529268728
188,2013-03,1569.19,0.03535536713008354,0.00048449908999999996,0.0009,0.0287,0.0026145085843749527
189,2013-04,1597.57,0.01792416211692459,0.0016827297889999997,0.0006,0.0264,-0.0010396394770870732
